Program Kodu,Kurum Adı,Ünvanı,Kadro Detayları,İl,Kontenjan,Boş Kontenjan,Min Puan,Max Puan
301017682,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Aksaray,1,,93.024,93.024
301021140,Ulaştırma ve Altyapı Bakanlığı ,Mühendis,4669Aşağıdaki lisans programlarından birinden mezun olmak.3221 - İnşaat Mühendisliği,İzmir,1,,92.945,92.945
301020888,Ulaştırma ve Altyapı Bakanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,İstanbul,1,,92.928,92.928
301017710,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Antalya,1,,92.926,92.926
301018158,Isparta İl Özel İdaresi ,Mimar,4747Aşağıdaki lisans programlarından birinden mezun olmak.3263 - Mimarlık7257Seyahate ve Arazide Çalışmaya Elverişli olmak.,Isparta,2,,92.924,93.112
301017941,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Kocaeli,1,,92.875,92.875
301021014,Ulaştırma ve Altyapı Bakanlığı ,Mühendis,4669Aşağıdaki lisans programlarından birinden mezun olmak.3221 - İnşaat Mühendisliği,Adana,1,,92.868,92.868
301017318,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Bolu,1,,92.860,92.860
301017451,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Kırşehir,1,,92.841,92.841
301019810,Türkiye Elektrik Dağıtım A.Ş. Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7257Seyahate ve Arazide Çalışmaya Elverişli olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,İstanbul,1,,92.837,92.837
301020321,Türkiye Elektrik İletim A.Ş. Genel Müdürlüğü ,Mühendis,4689Aşağıdaki lisans programlarından birinden mezun olmak.3233 - Jeodezi ve Fotogrametri Mühendisliği8324 - Harita Mühendisliği9034 - Geomatik Mühendisliği9572 - Jeodezi ve Haritacılık Mühendisliği7247Tehlikeli Ve Çok Tehlikeli İşlerde Çalışmasına Engel Bir Durumu Bulunmamak7257Seyahate ve Arazide Çalışmaya Elverişli olmak.,Ankara,1,,92.822,92.822
301020223,Türkiye Elektrik İletim A.Ş. Genel Müdürlüğü ,Mühendis,4677Aşağıdaki lisans programlarından birinden mezun olmak.3142 - Çevre Mühendisliği7247Tehlikeli Ve Çok Tehlikeli İşlerde Çalışmasına Engel Bir Durumu Bulunmamak7257Seyahate ve Arazide Çalışmaya Elverişli olmak.,Ankara,1,,92.818,92.818
301020986,Ulaştırma ve Altyapı Bakanlığı ,Mühendis,4611Aşağıdaki lisans programlarından birinden mezun olmak.3160 - Elektrik Mühendisliği3162 - Elektrik ve Elektronik Mühendisliği / Elektrik-Elektronik Mühendisliği,İstanbul,1,,92.801,92.801
301017416,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Karaman,1,,92.783,92.783
301020335,Türkiye Elektrik İletim A.Ş. Genel Müdürlüğü ,Mühendis,4611Aşağıdaki lisans programlarından birinden mezun olmak.3160 - Elektrik Mühendisliği3162 - Elektrik ve Elektronik Mühendisliği / Elektrik-Elektronik Mühendisliği7247Tehlikeli Ve Çok Tehlikeli İşlerde Çalışmasına Engel Bir Durumu Bulunmamak7257Seyahate ve Arazide Çalışmaya Elverişli olmak.,Antalya,1,,92.782,92.782
301017283,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Batman,1,,92.765,92.765
301018445,Muğla Sıtkı Koçman Üniversitesi ,Mimar,4747Aşağıdaki lisans programlarından birinden mezun olmak.3263 - Mimarlık,Muğla,1,,92.760,92.760
301019845,Türkiye Elektrik Dağıtım A.Ş. Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7257Seyahate ve Arazide Çalışmaya Elverişli olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Trabzon,1,,92.760,92.760
301019782,Türkiye Elektrik Dağıtım A.Ş. Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7257Seyahate ve Arazide Çalışmaya Elverişli olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Denizli,1,,92.754,92.754
301017325,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Burdur,1,,92.752,92.752
301016415,Devlet Hava Meydanları İşletmesi Genel Müdürlüğü ,Apron Memuru,4493Aşağıdaki lisans programlarından birinden mezun olmak.3312 - Sivil Hava Ulaştırma İşletmeciliği8325 - Havacılık9345 - Havacılık İşletmeciliği9370 - Sivil Hava İşletmeciliği9428 - Havacılık Yönetimi9534 - Sivil Havacılık İşletmeciliği6506B sınıfı sürücü belgesine sahip olmak7300Bu kadro/pozisyonda vardiya sistemi uygulanmaktadır.7302Bakınız Başvurma Özel Şartları Bölümü Şoför7321(Bakınız Başvurma Özel Şartları Bölümü Zabıt Katibi).7322(Bakınız Başvurma Özel Şartları Bölümü Devlet Hava Meydanları İşletmesi Genel Müdürlüğü).,Diyarbakır,1,,92.720,92.720
301017843,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Giresun,1,,92.657,92.657
301018032,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Samsun,1,,92.620,92.620
301017360,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Elazığ,1,,92.576,92.576
301015631,Afet ve Acil Durum Yönetimi Başkanlığı ,Anbar Memuru,4001Herhangi bir lisans programından mezun olmak.,Hatay,1,,92.572,92.572
301017934,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Kocaeli,1,,92.553,92.553
301017458,Gelir İdaresi Başkanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Kilis,1,,92.549,92.549
301016541,Devlet Su İşleri Genel Müdürlüğü ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7257Seyahate ve Arazide Çalışmaya Elverişli olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Sivas,1,,92.532,92.532
301020881,Ulaştırma ve Altyapı Bakanlığı ,Avukat,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Ankara,2,,92.504,92.733
301017969,Hazine ve Maliye Bakanlığı ,Hazine Avukatı,4419Aşağıdaki lisans programlarından birinden mezun olmak.3209 - Hukuk7205Avukatlık Ruhsatı Sahibi olmak.7326(Bakınız Başvurma Özel Şartları Bölümü Maliye Bakanlığı).7361(Bakınız Başvurma Özel Şartları Bölümü Avukat).,Mardin,1,,92.489,92.489
